store_id,store_name,city,state,country,region
ST001,Target Electronics - Los Angeles,Los Angeles,CA,USA,West
ST002,Best Buy - San Francisco,San Francisco,CA,USA,West
ST003,Target Electronics - Los Angeles,Los Angeles,CA,USA,West
ST004,Costco Wholesale - Austin,Austin,TX,USA,South
ST005,Best Buy - San Francisco,San Francisco,CA,USA,West
ST006,Target Electronics - Boston,Boston,MA,USA,East
ST007,Best Buy - New York,New York,NY,USA,East
ST008,Apple Store - Chicago,Chicago,IL,USA,Central
ST009,Best Buy - San Francisco,San Francisco,CA,USA,West
ST010,Walmart Supercenter - Dallas,Dallas,TX,USA,South
ST011,Amazon Fresh Electronics - Seattle,Seattle,WA,USA,West
ST012,Target Electronics - Boston,Boston,MA,USA,East
ST013,Target Electronics - Los Angeles,Los Angeles,CA,USA,West
ST014,Target Electronics - Boston,Boston,MA,USA,East
ST015,Costco Wholesale - San Jose,San Jose,CA,USA,West
ST016,Amazon Fresh Electronics - Seattle,Seattle,WA,USA,West
ST017,Apple Store - Chicago,Chicago,IL,USA,Central
ST018,Costco Wholesale - Austin,Austin,TX,USA,South
ST019,Walmart Supercenter - Dallas,Dallas,TX,USA,South
ST020,Amazon Fresh Electronics - Seattle,Seattle,WA,USA,West
ST021,Apple Store - New York,New York,NY,USA,East
ST022,Apple Store - New York,New York,NY,USA,East
ST023,Best Buy - Seattle,Seattle,WA,USA,West
ST024,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST025,Target Electronics - Boston,Boston,MA,USA,East
ST026,Target Electronics - Boston,Boston,MA,USA,East
ST027,Walmart Supercenter - Chicago,Chicago,IL,USA,Central
ST028,Costco Wholesale - Austin,Austin,TX,USA,South
ST029,Apple Store - Chicago,Chicago,IL,USA,Central
ST030,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST031,Target Electronics - Los Angeles,Los Angeles,CA,USA,West
ST032,Target Electronics - Los Angeles,Los Angeles,CA,USA,West
ST033,Best Buy - San Francisco,San Francisco,CA,USA,West
ST034,Apple Store - Chicago,Chicago,IL,USA,Central
ST035,Apple Store - Chicago,Chicago,IL,USA,Central
ST036,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST037,Apple Store - New York,New York,NY,USA,East
ST038,Costco Wholesale - San Jose,San Jose,CA,USA,West
ST039,Walmart Supercenter - Chicago,Chicago,IL,USA,Central
ST040,Walmart Supercenter - Dallas,Dallas,TX,USA,South
ST041,Target Electronics - Boston,Boston,MA,USA,East
ST042,Apple Store - New York,New York,NY,USA,East
ST043,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST044,Target Electronics - Boston,Boston,MA,USA,East
ST045,Target Electronics - Boston,Boston,MA,USA,East
ST046,Best Buy - San Francisco,San Francisco,CA,USA,West
ST047,Costco Wholesale - San Jose,San Jose,CA,USA,West
ST048,Apple Store - New York,New York,NY,USA,East
ST049,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST050,Costco Wholesale - Austin,Austin,TX,USA,South
ST051,Best Buy - New York,New York,NY,USA,East
ST052,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST053,Target Electronics - Los Angeles,Los Angeles,CA,USA,West
ST054,Best Buy - Seattle,Seattle,WA,USA,West
ST055,Best Buy - San Francisco,San Francisco,CA,USA,West
ST056,Apple Store - Chicago,Chicago,IL,USA,Central
ST057,Costco Wholesale - Austin,Austin,TX,USA,South
ST058,Target Electronics - Boston,Boston,MA,USA,East
ST059,Target Electronics - Boston,Boston,MA,USA,East
ST060,Apple Store - Chicago,Chicago,IL,USA,Central
ST061,Walmart Supercenter - Chicago,Chicago,IL,USA,Central
ST062,Costco Wholesale - Austin,Austin,TX,USA,South
ST063,Target Electronics - Los Angeles,Los Angeles,CA,USA,West
ST064,Best Buy - New York,New York,NY,USA,East
ST065,Walmart Supercenter - Dallas,Dallas,TX,USA,South
ST066,Walmart Supercenter - Dallas,Dallas,TX,USA,South
ST067,Walmart Supercenter - Dallas,Dallas,TX,USA,South
ST068,Apple Store - Chicago,Chicago,IL,USA,Central
ST069,Apple Store - Chicago,Chicago,IL,USA,Central
ST070,Best Buy - San Francisco,San Francisco,CA,USA,West
ST071,Target Electronics - Boston,Boston,MA,USA,East
ST072,Apple Store - New York,New York,NY,USA,East
ST073,Amazon Fresh Electronics - Seattle,Seattle,WA,USA,West
ST074,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST075,Best Buy - San Francisco,San Francisco,CA,USA,West
ST076,Target Electronics - Boston,Boston,MA,USA,East
ST077,Walmart Supercenter - Chicago,Chicago,IL,USA,Central
ST078,Micro Center - Columbus,Columbus,OH,USA,Midwest
ST079,Best Buy - San Francisco,San Francisco,CA,USA,West
ST080,Costco Wholesale - San Jose,San Jose,CA,USA,West
